Rank,Score,Title,Genre,Synopsis
1,9.3,Avatar: The Last Airbender,"Animation, Action, Adventure","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
2,9.3,Gintama: The Final,"Animation, Action, Comedy",Add a Plot
3,9.3,Chris Chan: A Comprehensive History,"Documentary, Biography, History","A documentary series about Sonichu creator and internet sensation, Christian Weston Chandler."
4,9.2,Gintama: The Semi-Final,"Animation, Action, Comedy",A quick look at everyone in Gintama before the finale.
5,9.1,Hagane no renkinjutsushi,"Animation, Action, Adventure",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
6,9.1,Fumetsu no Anata e,"Animation, Adventure, Drama","A lonely boy wandering the Arctic regions of North America meets a wolf, and the two become fast friends, depending on each other to survive the harsh environment. But the boy has a history, and the wolf is more than meets the eye as well."
7,9.1,Ginga eiyû densetsu,"Animation, Drama, Sci-Fi","Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations."
8,9.1,Strongbad_email.exe,"Animation, Comedy","A collection of the first hundred episodes in the Strong Bad Email cartoon series on homestarrunner.com, including three previously unreleased episodes."
9,9.0,Shingeki no kyojin,"Animation, Action, Adventure","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
10,9.0,Death Note: Desu nôto,"Animation, Crime, Drama",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
11,9.0,Hunter x Hunter,"Animation, Action, Adventure","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger."
12,9.0,Ramayana: The Legend of Prince Rama,"Animation, Action, Adventure","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
13,9.0,Ashita no Jô 2,"Animation, Action, Drama","Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering."
14,9.0,Girls und Panzer das Finale: Part III,"Animation, Action, Comedy",Add a Plot
15,9.0,Fragmented Trinity,"Animation, Action, Fantasy","Two angels are kicked out of heaven after a vengeful quest for blood. After many years of trying to redeem themselves, one of them succeeds. But all of that is thrown out the window after ...                See full summary »"
16,9.0,Aikatsu Stars!,"Animation, Adventure, Drama","Yume Nijino aims to become a top idol and enrolls in the Yotsusei Gakuen. This academy has a special group called the S4, who are the top four active idols in the school. Yume and the other...                See full summary »"
17,8.9,Kaubôi bibappu,"Animation, Action, Adventure",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
18,8.9,Mushishi: Zoku Shou,"Animation, Drama, Fantasy","They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre ...                See full summary »"
19,8.9,Ginga: Nagareboshi gin,"Animation, Action, Adventure",An Akita-Inu puppy is destined to defend his people against a monstrous bear.
20,8.9,Xenogears,"Animation, Action, Adventure",Young warrior and artist Fei Fong Wong sets off on a journey that tests his faith as well as courage as he is suddenly thrown into a battle where no one is who they seem.
21,8.9,Policenauts,"Action, Crime, Mystery","Johnathan Ingram is one of ""policenauts"" assigned the task of upholding the law on a space station called ""Beyond Coast"". Ingram was lost in the space after an accident left himn out of ...                See full summary »"
22,8.8,Invincible,"Animation, Action, Adventure",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
23,8.8,One Piece: Wan pîsu,"Animation, Action, Adventure","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
24,8.8,Jujutsu Kaisen,"Animation, Action, Adventure",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
25,8.8,One Punch Man: Wanpanman,"Animation, Action, Comedy","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
26,8.8,Vinland Saga,"Animation, Action, Adventure",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.
27,8.8,Steins;Gate,"Animation, Comedy, Drama","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
28,8.8,Gekijouban Poketto monsutâ: koko,"Animation, Action, Adventure","The story of Koko, a young boy raised by Pokémon, and the creation of a new bond between humans and Pokémon."
29,8.8,The Otachan Show,Comedy,"Otachan, a YouTube personality, struggles with balancing her on-screen persona and irresponsible decisions."
30,8.8,A Slap on Titan,"Animation, Action, Comedy","Woefully offensive and wickedly hilarious, A Slap On Titan is the anime parody that Attack on Titan, and the world, deserves."
31,8.8,Adventures in Voice Acting,"Documentary, Family",Adventures in Voice Acting features interviews with over 80 voice actors who tell their stories.
32,8.8,Average Gypsy - Get Some Money,"Short, Sci-Fi","When a wealthy man and his entourage out stay their welcome in an unnamed Japanese cyber strip bar, the femme fatale purveyors plot a brutal and highly profitable revenge."
33,8.8,Mahô no purinsesu Minkî Momo: Tabidachi no eki,"Short, Family, Animation",Minky Momo travels through time and teams up with her previous magical princess self to help an old man.
34,8.7,Demon Slayer: Kimetsu No Yaiba,"Animation, Action, Fantasy","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
35,8.7,Kenpû Denki Berserk,"Animation, Action, Adventure","Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court."
36,8.7,Haikyuu!!,"Animation, Comedy, Drama","Determined to be like the volleyball championship's star player Shouyou, a short boy nicknamed ""the small giant,"" joins his school's volleyball club."
37,8.7,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,"Animation, Action, Drama","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire"
38,8.7,Dragon Ball Z,"Animation, Action, Adventure","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies."
39,8.7,Dragon Ball Z: Doragon bôru zetto,"Animation, Action, Adventure",The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.
40,8.7,Shingeki no Kyojin: Chronicle,"Animation, Action, Adventure",A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.
41,8.7,Hajime no ippo,"Animation, Action, Comedy","Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his ...                See full summary »"
42,8.7,Slam Dunk: Suramu danku,"Animation, Comedy, Drama","About Sakuragi Hanamichi, a freshman of Shohoku High School who joins the basketball team because of the girl he has a crush on, Haruko. Although he is newbie in this sport, he is no ordinary basketball player."
43,8.7,Hunter X Hunter OVA,"Animation, Action, Adventure","Reuniting with Gon and his friends, Kurapika explains to them the risks he bears because of his abilities. He believes his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin."
44,8.7,Mirai shônen Konan,"Animation, Adventure, Comedy","After the world is nearly destroyed by a war, a young boy and his friends must fight to save the world from those who seek to conquer what is left of civilization."
45,8.7,Hajime no Ippo: New Challenger,"Animation, Action, Comedy","Ippo continues to defend his title and training to reach his goal, Ichiro Miyata. While Takamura goes for the world, and faces the world champion, Brian Hawk. In what is to become his toughest fight so far."
46,8.7,Taiyô no ko Esteban,"Animation, Adventure, Comedy",A trio of kids must search throughout 16th Century South America for personal answers linked to the legendary El Dorado.
47,8.7,Hajime No Ippo: Rising,"Animation, Action, Comedy","Ippo the Japanese Featherweight champion will defend his title against amazing challengers. Takamura fights for the second WBC title in the middleweight class, and Aoki fights for the Lightweight title."
48,8.7,Mushi-Shi Zoku Shou: Suzu no Shizuku,"Animation, Fantasy","An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko's peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home."
49,8.7,Initial D: Final Stage,"Animation, Action, Sport","After defeating every racing team, everything comes down to one last race. Will Project D succeed in the final and most difficult race of Initial D. And what is going to be the future of Project D after this final race."
50,8.7,Descending Stories: Shôwa Genroku rakugo shinjû,"Animation, Drama","Now a rakugo artist himself, Yotarou is challenged to keep the art form alive, meanwhile witnessing the final years of his master, Yakumo."
51,8.7,Shin seiki evangelion: Genesis 0:0 - in the beginning,"Animation, Short, Action",A promotional VHS tape showing clips from the first few episodes of Evangelion before the series was released.
52,8.7,Mushishi Tokubetsu-hen: Hihamukage,"Animation, Drama, Fantasy",A strange shadow forms blocking the sun from a village following a solar eclipse. Ginko enlists the help of the villagers to solve the mystery of the shadow before it destroys their crops.
53,8.7,Puraresu Sanshirô,"Action, Animation",A young boy named Sanshiro Sugata battles against other PlaWrestlers using his miniature PlaWrestler pocket robot named Juohmaru.
54,8.7,HeartCatch PreCure!,"Animation, Action, Fantasy","Tsubomi Hanasaki is determined to become more outgoing. Upon becoming a PreCure, she is ecstatic - until her shyness proves an obstacle. However, with her new friend Erika, she is determined to eventually become a stronger person."
55,8.7,The Legend of the Galactic Heroes: Die Neue These - Seiran 3,"Animation, Action, Drama",Add a Plot
56,8.7,Aikatsu Friends!,"Animation, Adventure, Drama","""Let's go, together. Head for the goal, Diamond Friends!!"" The new anime will have a theme of ""Aikatsu with your friends!"" and will center on a new protagonist named Aine Yuuki, who is good...                See full summary »"
57,8.7,Overlord Abridged,"Animation, Comedy",The show is about a man who spent years of his life playing an online virtual reality RPG. over the years he had built up great power and wealth. He had maxed out his character and created ...                See full summary »
58,8.7,Strongbad_email.exe: Disc Four,"Animation, Comedy",Add a Plot
59,8.7,Arubâto odessei gaiden: Legend of Eldean,NA,Add a Plot
60,8.6,Naruto: Shippûden,"Animation, Action, Adventure","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
61,8.6,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
62,8.6,Monster,"Animation, Crime, Drama",A brilliant neurosurgeon living in Germany finds his life in utter turmoil after getting involved with a psychopath that was once a former patient.
63,8.6,Gintama,"Animation, Action, Comedy","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can."
64,8.6,Shigatsu wa kimi no uso,"Animation, Drama, Music",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
65,8.6,Hunter x Hunter,"Animation, Action, Adventure","The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua."
66,8.6,Clannad: After Story,"Animation, Comedy, Drama",A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                See full summary »
67,8.6,Gekijouban Bishoujo Senshi Sailor Moon Eternal,"Animation, Action, Adventure","When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world."
68,8.6,Mo Dao Zu Shi,"Animation, Action, Adventure",Wei Wu Xian and Lan Wang Ji meet during a magical training and start working together to solve many mysteries.
69,8.6,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"Animation, Action, Adventure","In the era of Japan's Meiji Restoration, an assassin regains his humanity."
70,8.6,Ping Pong the Animation,"Animation, Drama, Sport",Five ping pong prodigies learn to navigate the harsh climate of competitive sport and the even more frightening realm of self realization.
71,8.6,InuYasha: Kanketsu-hen,"Animation, Action, Adventure","InuYasha's story draws to a close but not before finding Naraku and the Sacred Jewel, and facing new enemies and new dangers."
72,8.6,Chôjikû Yôsai Macross,"Animation, Action, Adventure",An alien spaceship crash lands on Earth and her secrets lead to a desperate war against an alien enemy sent to retrieve the ship.
73,8.6,Gurimu meisaku gekijou,"Animation, Family, Fantasy",An animated series retelling a different folk or fairy tale in each episode.
74,8.6,Tales of Symphonia,"Action, Adventure, Drama","Lloyd Irving and his childhood friend Colette are destined to go on a journey to save the world of Sylvarant, but doing so may endanger Tethe'alla, a world parallel to theirs."
75,8.6,Romio no aoi sora,"Drama, Animation","the story about the boy Romeo, who was living with his family in a small village in Switzerland and then decide to lease himself to his need for money after the crowman burn their farm for ...                See full summary »"
76,8.6,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,Animation,When the five visit a private academy Kazama is attacked. He is left with reduced intelligence and strange bite marks.
77,8.6,Ninja Senshi Tobikage,"Animation, Action, Adventure","Ninja Senshi Tobikage tells the story of a boy named Joe Maya. One day, Joe, who lives on Mars, witnesses a battle between aliens."
78,8.6,Knights of the Zodiac,"Animation, Action, Adventure","Several warriors known as 'Saints' have in their possessions a unique cloth, must protect a goddess as she tries to keep Earth from being destroyed, in this censored version of 'Saint Seiya'."
79,8.6,Drawfee,"Animation, Comedy","The Drawfee Channel is a comedic Let's-Draw Youtube channel headed by H. Caldwell Tanner and Nathan Yaffe of CollegeHumor, with guests from the CollegeHumor and Dorkly offices."
80,8.6,Bosco daiboken,"Animation, Action, Adventure","The story is about a young elvish Princess Apricot whose mission is to return to her home - Fountain land, occupied by evil forces of a monster called Scorpion, before the total eclipse of ...                See full summary »"
81,8.6,"Homestarrunner.com: Everything Else, Volume 1","Animation, Comedy","A collection of all the short toons on homestarrunner.com, including the then-complete Marzipan's Answering Machine and Teen Girl Squad series."
82,8.6,Ghost in the Shell: Production Report,"Documentary, Short","A behind the scenes look at the making of the 1995 classic anime, Ghost in the Shell."
83,8.6,Toonami: Advanced Robotics,"Short, Music","An anime music video from Toonami for it's song, 'Ignition'."
84,8.5,Boku no hîrô akademia,"Animation, Action, Adventure",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
85,8.5,Yakusoku no Neverland,"Animation, Adventure, Drama","When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
86,8.5,Hotaru no haka,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.
87,8.5,Fruits Basket,"Animation, Comedy, Drama","After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations."
88,8.5,Tokyo Revengers,"Animation, Action, Drama","A middle-aged loser travels in time to his school years and in order to save the love of his life from future doom, he must become the leader of a dreaded school gang."
89,8.5,Shin seiki evangerion,"Animation, Action, Drama",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
90,8.5,Boku dake ga inai machi,"Animation, Drama, Fantasy","29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade."
91,8.5,Mob Psycho 100,"Animation, Action, Comedy","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
92,8.5,Violet Evergarden,"Animation, Drama, Fantasy","In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people."
93,8.5,Hagane no renkinjutsushi,"Animation, Action, Adventure","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone."
94,8.5,Samurai chanpurû,"Animation, Action, Adventure","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
95,8.5,Dragon Ball: Doragon bôru,"Animation, Action, Adventure","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
96,8.5,Dragon Ball,"Animation, Action, Adventure","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
97,8.5,Rurôni Kenshin - Meiji kenkaku romantan,"Animation, Action, Adventure",The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.
98,8.5,GTO,"Animation, Comedy, Drama","About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever."
99,8.5,Kôkaku kidôtai: Stand Alone Complex,"Animation, Action, Crime",The futuristic adventures of a female cyborg counter intelligence agent and her support team.
100,8.5,Yojôhan shinwa taikei,"Animation, Comedy, Drama","When a nameless student at Kyoto University encounters a demigod one night, he asks to relive the past three years in order to win the heart of Ms. Akashi, the object of his affection."
